Day,Hour,Temp,Dir,Spd
162,10,0.651877133,120,0
162,11,0.689419795,130,0.147058824
162,12,0.740614334,140,0.264705882
162,13,0.740614334,140,0.284313725
162,14,0.723549488,130,0.205882353
162,15,0.655290102,120,0.284313725
162,16,0.638225256,120,0.264705882
162,17,0.576791809,120,0.274509804
162,18,0.539249147,120,0.274509804
162,19,0.52559727,120,0.235294118
162,20,0.511945392,120,0.254901961
162,21,0.515358362,120,0.274509804
162,22,0.511945392,120,0.245098039
162,23,0.518771331,120,0.176470588
162,24,0.511945392,120,0.078431373
163,1,0.505119454,80,0.166666667
163,2,0.484641638,90,0.068627451
163,3,0.484641638,80,0.12745098
163,4,0.47440273,20,0.039215686
163,5,0.47440273,100,0.107843137
163,6,0.453924915,90,0.18627451
163,7,0.450511945,110,0.196078431
163,8,0.470989761,100,0.176470588
163,9,0.498293515,100,0.264705882
163,10,0.511945392,,
163,11,0.542662116,120,0.37254902
163,12,0.552901024,110,0.294117647
163,13,0.580204778,120,0.323529412
163,14,0.597269625,120,0.31372549
163,15,0.556313993,120,0.274509804
163,16,0.518771331,120,0.284313725
163,17,0.491467577,100,0.264705882
163,18,0.470989761,110,0.284313725
163,19,0.484641638,120,0.294117647
163,20,0.484641638,110,0.343137255
163,21,0.488054608,120,0.323529412
163,22,0.481228669,120,0.294117647
163,23,0.481228669,90,0.205882353
163,24,0.4778157,110,0.235294118
164,1,0.467576792,120,0.245098039
164,2,0.460750853,110,0.235294118
164,3,0.450511945,120,0.264705882
164,4,0.447098976,110,0.284313725
164,5,0.436860068,110,0.284313725
164,6,0.433447099,110,0.235294118
164,7,0.43003413,110,0.284313725
164,8,0.436860068,120,0.284313725
164,9,0.481228669,120,0.352941176
164,10,0.5221843,120,0.333333333
164,11,0.587030717,,
164,12,0.587030717,130,0.294117647
164,13,0.597269625,120,0.264705882
164,14,0.624573379,120,0.284313725
164,15,0.600682594,120,0.264705882
164,16,0.556313993,120,0.323529412
164,17,0.515358362,120,0.254901961
164,18,0.4778157,120,0.254901961
164,19,0.464163823,110,0.274509804
164,20,0.460750853,120,0.235294118
164,21,0.47440273,120,0.137254902
164,22,0.467576792,120,0.18627451
164,23,0.464163823,120,0.18627451
164,24,0.47440273,,
165,1,0.464163823,120,0.176470588
165,2,0.464163823,130,0.078431373
165,3,0.467576792,,
165,4,0.470989761,110,0.137254902
165,5,0.464163823,120,0.166666667
165,6,0.464163823,110,0.176470588
165,7,0.470989761,110,0.235294118
